time,Bonding Roll Actual Velocity,Bonding Roll Command Velocity,Bonding Roll Position Error,Bonding Roll Torque,Continuous Bond FFT Band 0,Continuous Bond FFT Band 1,Continuous Bond FFT Band 2,Continuous Bond FFT Band 3,Continuous Bond FFT Band 4,Continuous Bond FFT Band 5,Continuous Bond FFT Band 6,Continuous Bond FFT Band 7,Continuous Bond Vibration,Tackdown Bond Vibration,Tackdown FFT Band 0,Tackdown FFT Band 1,Tackdown FFT Band 2,Tackdown FFT Band 3,Tackdown FFT Band 4,Tackdown FFT Band 5,Tackdown FFT Band 6,Tackdown FFT Band 7
2022-02-18T21:00:00.041301,20.012287,20.0,4e-06,18.5,,,,,,,,,,,,,,,,,,
2022-02-18T21:00:00.043502,,,,,0.059422,0.079366,0.080179,0.192799,0.027324,0.026368,0.02316,0.025131,0.746524,0.133684,0.013187,0.015234,0.016981,0.018143,0.008697,0.00815,0.007616,0.007497
2022-02-18T21:00:00.091445,19.994793,20.0,-2e-05,19.5,,,,,,,,,,,,,,,,,,
2022-02-18T21:00:00.093539,,,,,0.059422,0.079366,0.080179,0.192799,0.027324,0.026368,0.02316,0.025131,0.746524,0.133684,0.013187,0.015234,0.016981,0.018143,0.008697,0.00815,0.007616,0.007497
2022-02-18T21:00:00.141615,19.992352,20.0,9.8e-05,19.9,,,,,,,,,,,,,,,,,,
2022-02-18T21:00:00.143649,,,,,0.059422,0.079366,0.080179,0.192799,0.027324,0.026368,0.02316,0.025131,0.746524,0.133684,0.013187,0.015234,0.016981,0.018143,0.008697,0.00815,0.007616,0.007497
2022-02-18T21:00:00.191592,20.001709,20.0,-8e-06,17.200001,,,,,,,,,,,,,,,,,,
2022-02-18T21:00:00.193679,,,,,0.059422,0.079366,0.080179,0.192799,0.027324,0.026368,0.02316,0.025131,0.746524,0.133684,0.013187,0.015234,0.016981,0.018143,0.008697,0.00815,0.007616,0.007497
2022-02-18T21:00:00.241735,19.991945,20.0,5.7e-05,19.300001,,,,,,,,,,,,,,,,,,
2022-02-18T21:00:00.244165,,,,,0.053494,0.058867,0.064049,0.162991,0.021367,0.021706,0.017744,0.017711,0.758419,0.137504,0.01321,0.015265,0.017079,0.018278,0.008855,0.008261,0.007752,0.007568
2022-02-18T21:00:00.291785,19.998047,20.0,-5.3e-05,18.5,,,,,,,,,,,,,,,,,,
2022-02-18T21:00:00.294151,,,,,0.053494,0.058867,0.064049,0.162991,0.021367,0.021706,0.017744,0.017711,0.758419,0.137504,0.01321,0.015265,0.017079,0.018278,0.008855,0.008261,0.007752,0.007568
2022-02-18T21:00:00.342102,19.998455,20.0,-0.000252,19.4,,,,,,,,,,,,,,,,,,
2022-02-18T21:00:00.344190,,,,,0.053494,0.058867,0.064049,0.162991,0.021367,0.021706,0.017744,0.017711,0.756826,0.133472,0.01321,0.015265,0.017079,0.018278,0.008855,0.008261,0.007752,0.007568
2022-02-18T21:00:00.392329,20.000488,20.0,-0.000159,17.200001,,,,,,,,,,,,,,,,,,
2022-02-18T21:00:00.394423,,,,,0.053494,0.058867,0.064049,0.162991,0.021367,0.021706,0.017744,0.017711,0.756826,0.133472,0.01321,0.015265,0.017079,0.018278,0.008855,0.008261,0.007752,0.007568
2022-02-18T21:00:00.442474,20.008219,20.0,-5.3e-05,17.5,,,,,,,,,,,,,,,,,,
2022-02-18T21:00:00.444534,,,,,0.053494,0.058867,0.064049,0.162991,0.021367,0.021706,0.017744,0.017711,0.756826,0.133472,0.01321,0.015265,0.017079,0.018278,0.008855,0.008261,0.007752,0.007568
2022-02-18T21:00:00.492473,19.994387,20.0,-0.000155,20.4,,,,,,,,,,,,,,,,,,
