sep=;
"Series";"Time";"Value"
"TD FFT Band 0";"2021-05-24T11:58:00+02:00";0.083659
"TD FFT Band 0";"2021-05-24T11:58:00+02:00";0.083249
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.082286
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.082501
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.081981
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.082718
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.082832
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.082995
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.08309
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.082896
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.084153
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.084885
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.084467
"TD FFT Band 0";"2021-05-24T11:59:00+02:00";0.084728
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.086399
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.085868
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.085921
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.085378
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.08499
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.084104
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.083707
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.083668
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.084546
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.083729
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.083177
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.082507
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.082156
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.082481
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.083409
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.083233
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.08342
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.084431
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.084132
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.083301
"TD FFT Band 0";"2021-05-24T12:01:00+02:00";0.083179
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.082855
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.083357
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.08326
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.082871
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.082887
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.08345
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.083928
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.083898
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.08447
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.083259
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.082749
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.082678
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.082714
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.08216
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.08259
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.082877
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.08307
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.084417
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.08378
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.083575
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.084311
"TD FFT Band 0";"2021-05-24T12:05:00+02:00";0.084038
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.082871
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083909
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.08322
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.08384
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.084119
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.084869
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083847
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083589
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.082517
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083033
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.082413
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.083051
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.082487
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.082348
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.081848
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.082228
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.081458
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.081388
"TD FFT Band 0";"2021-05-24T12:06:00+02:00";0.081226
