Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Pre;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Continous Bond Quality 2 Iterate;Variables;Variables;Variables;Variables;Variables;Variables;Variables;Variables;Variables;Variables
Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Bond Site Limits;Calc Key Parm;Calc Key Parm;CB DS;CB DS;CB OP;CB OP;Check Edge Suff. Bonds;Check Edge Suff. Bonds;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable;Inspection Variable
CB Avg Bond Site Area (pix);N Bonds Expected in ROI;CB Unacceptable Limit - N Bonds in ROI;CB Acceptable Limit - N Bonds in ROI;HB Avg Bond Site Area (pix);HB Acceptable Limit - N Bonds in ROI;HB Unacceptable Limit - N Bonds in ROI;MD Iterations;MD Iteration Length;Percentage of Area;Pixel Count;Percentage of Area;Pixel Count;[DB] CB Num Bonds OP;[DB] CB Num Bonds DS;92203662.01;92203662.01c;92203662.02;92203662.02c;99971742.01;99971742.01c;99971742.02;99971742.02c;vALL.Image.Confidence;vALL.Image.Name
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,58974;136;40,70513;127;705,55556;755,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_091456_899_P1266.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,91026;137;36,21795;113;627,77778;761,11111;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_091546_949_P2267.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,30769;132;34,9359;109;605,55556;733,33333;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092540_441_P259.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,94872;134;40,27778;116;644,44444;744,44444;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092541_991_P290.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;42,62821;133;40,625;117;650;738,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092543_541_P321.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;36,85897;115;40,70513;127;705,55556;638,88889;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092545_091_P352.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;43,58974;136;41,98718;131;727,77778;755,55556;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092546_641_P383.jpg
18;5,73;0,5;2,2;11,6;0,8;0,4;47;24;41,34615;129;37,17949;116;644,44444;716,66667;4;75;4;75;1;100;1;100;100;VISCUF1_S4_20210621_092548_191_P414.jpg
